Timing,Course Name,Class & Program,Room No.,UMS Class  No.,Teacher,Day 
"5:30 PM
 to
 6:45 PM",,,MAC-3,,,Tuesday/Thrusday
"5:30 PM
 to
 6:45 PM",,,MAC-4,,,Tuesday/Thrusday
"5:30 PM
 to
 6:45 PM",,,MAC-5,,,Tuesday/Thrusday
"5:30 PM
 to
 6:45 PM",,,MAC 6,,,Tuesday/Thrusday
"5:30 PM
 to
 6:45 PM",,,MAC-7,,,Tuesday/Thrusday
"5:30 PM
 to
 6:45 PM",,,MAC-8,,,Tuesday/Thrusday
"5:30 PM
 to
 6:45 PM",Reserved for Graduate Programs ,,MAS-1,,,Tuesday/Thrusday
"5:30 PM
 to
 6:45 PM",Reserved for Graduate Programs ,,MAS-2,,,Tuesday/Thrusday
"5:30 PM
 to
 6:45 PM","Research Methods in Development
Only Tuesday 6:00pm to 9:00pm",MS Dev. Studies,MAV-1,,Dr. Nausheen Anwar and Dr. Junaid memon,Tuesday/Thrusday
"5:30 PM
 to
 6:45 PM",,,MAV-2,,,Tuesday/Thrusday
"5:30 PM
 to
 6:45 PM",,,MCC-09,,,Tuesday/Thrusday
"5:30 PM
 to
 6:45 PM",,,MCC-10,,,Tuesday/Thrusday
"5:30 PM
 to
 6:45 PM",,,MCC-11,,,Tuesday/Thrusday
"5:30 PM
 to
 6:45 PM","Tech Product Development Only Thursday
from 4:00 to 5:15 pm & 5:30 to 6:45 pm
",CS Elective,MCC12,95905,Prof. Jawwad Farid,Tuesday/Thrusday
"5:30 PM
 to
 6:45 PM",,,MCC-13,,,Tuesday/Thrusday
"5:30 PM
 to
 6:45 PM",,,MCC-14,,,Tuesday/Thrusday
"5:30 PM
 to
 6:45 PM",,,MCC-15,,,Tuesday/Thrusday
"5:30 PM
 to
 6:45 PM","Parallel Distributed Computing (Lab) Only Tuesday
from 4:00 to 5:15 pm & 5:30 to 6:45 pm ",BSCS-6,MCL-1,96003,Mr. Zain Uddin,Tuesday/Thrusday
"5:30 PM
 to
 6:45 PM",,,MCL-2,,,Tuesday/Thrusday
"5:30 PM
 to
 6:45 PM",Essential Software (only Tuesday) 5:30 to 6:45 & 7:00 to 8:15)   ,,MCL-3,96179,Dr. M. Yousuf Tufail,Tuesday/Thrusday
"5:30 PM
 to
 6:45 PM",Reserved by SND,,MCS-3,,,Tuesday/Thrusday
"5:30 PM
 to
 6:45 PM",,,MCS-4,,,Tuesday/Thrusday
"5:30 PM
 to
 6:45 PM",Reserved for Dr. Irfan Nabi's Class,MSCS,MCS-5,,Dr. Irfan Nabi,Tuesday/Thrusday
"5:30 PM
 to
 6:45 PM",,,MTC 16,,,Tuesday/Thrusday
"5:30 PM
 to
 6:45 PM",,,MTC-17,,,Tuesday/Thrusday
"5:30 PM
 to
 6:45 PM",,,MTC-18,,,Tuesday/Thrusday
"5:30 PM
 to
 6:45 PM",Twentieth Century Global History,BSSS-6 Major Core,MTC-19,90071,Ms. Ramsha Siddiqui,Tuesday/Thrusday
"5:30 PM
 to
 6:45 PM",,,MTC-20,,,Tuesday/Thrusday
"5:30 PM
 to
 6:45 PM",,,MTC-20A,,,Tuesday/Thrusday
"5:30 PM
 to
 6:45 PM",,,MTC-21,,,Tuesday/Thrusday
"5:30 PM
 to
 6:45 PM",,,MTC-22,,,Tuesday/Thrusday
"5:30 PM
 to
 6:45 PM",,,MTC-23,,,Tuesday/Thrusday
"5:30 PM
 to
 6:45 PM",,,MTC-24,,,Tuesday/Thrusday
"5:30 PM
 to
 6:45 PM",,,MTC 25,,,Tuesday/Thrusday
"5:30 PM
 to
 6:45 PM",,,MTC-26,,,Tuesday/Thrusday
"5:30 PM
 to
 6:45 PM",,,MTC-27,,,Tuesday/Thrusday
"5:30 PM
 to
 6:45 PM",,,MTC-28,,,Tuesday/Thrusday
"5:30 PM
 to
 6:45 PM",,,MTC-29,,,Tuesday/Thrusday
"5:30 PM
 to
 6:45 PM",,,MTS 6,,,Tuesday/Thrusday
"5:30 PM
 to
 6:45 PM",,,MTS 7,,,Tuesday/Thrusday
"5:30 PM
 to
 6:45 PM",Reserved for Graduate,,MTS 8,,,Tuesday/Thrusday
"5:30 PM
 to
 6:45 PM",,,,,,Tuesday/Thrusday
"5:30 PM
 to
 6:45 PM",Remote Sensing and GIS Applications(only Thursday),BSSS-6/8 ELECTIVE,MTL-4,96076,Mr. Muhammad Toheed,Tuesday/Thrusday
"7:00 PM
 to
 8:15 PM",,,AUDITORIUM,,,Tuesday/Thrusday
"7:00 PM
 to
 8:15 PM",,,EVENT HALL,,,Tuesday/Thrusday
"7:00 PM
 to
 8:15 PM",Taxation,BSAF-4,MAC-1,90068,Mr. Hanif Idrees,Tuesday/Thrusday
"7:00 PM
 to
 8:15 PM",,,MAC-2,,,Tuesday/Thrusday
"7:00 PM
 to
 8:15 PM",,,MAC-3,,,Tuesday/Thrusday
"7:00 PM
 to
 8:15 PM",,,MAC-4,,,Tuesday/Thrusday
"7:00 PM
 to
 8:15 PM",Analytical Approach to Marketing                                                                  Online ,MKT=E,MAC-5,75345,Mr. Hassaan Khalid,Tuesday/Thrusday
"7:00 PM
 to
 8:15 PM",Analytical Approach to Marketing                                                                  Online ,MKT=E,MAC 6,75346,Mr. Hassaan Khalid,Tuesday/Thrusday
"7:00 PM
 to
 8:15 PM",Analytical Approach to Marketing                                                                  Online ,MKT=E,MAC-7,75347,Mr. Hassaan Khalid,Tuesday/Thrusday
"7:00 PM
 to
 8:15 PM",,,MAC-8,,,Tuesday/Thrusday
"7:00 PM
 to
 8:15 PM",,,MAS-1,,,Tuesday/Thrusday
"7:00 PM
 to
 8:15 PM",,,MAS-2,,,Tuesday/Thrusday
"7:00 PM
 to
 8:15 PM","Research Methods in Development
Only Tuesday 6:00pm to 9:00pm",MS Dev. Studies,MAV-1,,Dr. Nausheen Anwar and Dr. Junaid memon,Tuesday/Thrusday
"7:00 PM
 to
 8:15 PM",,,MAV-2,,,Tuesday/Thrusday
"7:00 PM
 to
 8:15 PM",,,MCC-09,,,Tuesday/Thrusday
"7:00 PM
 to
 8:15 PM",,,MCC-10,,,Tuesday/Thrusday
"7:00 PM
 to
 8:15 PM",,,MCC-11,,,Tuesday/Thrusday
"7:00 PM
 to
 8:15 PM",,,MCC12,,,Tuesday/Thrusday
"7:00 PM
 to
 8:15 PM",,,MCC-13,,,Tuesday/Thrusday
"7:00 PM
 to
 8:15 PM",,,MCC-14,,,Tuesday/Thrusday
"7:00 PM
 to
 8:15 PM",,,MCC-15,,,Tuesday/Thrusday
"7:00 PM
 to
 8:15 PM",,,MCL-1,,,Tuesday/Thrusday
"7:00 PM
 to
 8:15 PM",,,MCL-2,,,Tuesday/Thrusday
"7:00 PM
 to
 8:15 PM",Essential Software (only Tuesday) 5:30 to 6:45 & 7:00 to 8:15)   ,ECO/EM/ACF/BBA,MCL-3,96179,Dr. M. Yousuf Tufail,Tuesday/Thrusday
"7:00 PM
 to
 8:15 PM",,,MCS-3,,,Tuesday/Thrusday
"7:00 PM
 to
 8:15 PM",,,MCS-4,,,Tuesday/Thrusday
"7:00 PM
 to
 8:15 PM",Reserved for Dr. Irfan Nabi's Class ,MSCS,MCS-5,,Dr. Irfan Nabi,Tuesday/Thrusday
"7:00 PM
 to
 8:15 PM",Reserved for Graduate ,,MTC 16,Reserved for Graduate ,,Tuesday/Thrusday
"7:00 PM
 to
 8:15 PM",Reserved for Graduate ,,MTC-17,Reserved for Graduate ,,Tuesday/Thrusday
"7:00 PM
 to
 8:15 PM",,,MTC-18,,,Tuesday/Thrusday
"7:00 PM
 to
 8:15 PM",,,MTC-19,,,Tuesday/Thrusday
"7:00 PM
 to
 8:15 PM",,,MTC-20,,,Tuesday/Thrusday
"7:00 PM
 to
 8:15 PM",,,MTC-20A,,,Tuesday/Thrusday
"7:00 PM
 to
 8:15 PM",,,MTC-21,,,Tuesday/Thrusday
"7:00 PM
 to
 8:15 PM",,,MTC-22,,,Tuesday/Thrusday
"7:00 PM
 to
 8:15 PM",,,MTC-23,,,Tuesday/Thrusday
"7:00 PM
 to
 8:15 PM",,,MTC-24,,,Tuesday/Thrusday
"7:00 PM
 to
 8:15 PM",,,MTC 25,,,Tuesday/Thrusday
"7:00 PM
 to
 8:15 PM",,,MTC-26,,,Tuesday/Thrusday
"7:00 PM
 to
 8:15 PM",,,MTC-27,,,Tuesday/Thrusday
"7:00 PM
 to
 8:15 PM",,,MTC-28,,,Tuesday/Thrusday
"7:00 PM
 to
 8:15 PM",,,MTC-29,,,Tuesday/Thrusday
"7:00 PM
 to
 8:15 PM",,,MTS 6,,,Tuesday/Thrusday
"7:00 PM
 to
 8:15 PM",,,MTS 7,,,Tuesday/Thrusday
"7:00 PM
 to
 8:15 PM",,,MTS 8,Reserved for Graduate ,,Tuesday/Thrusday
"7:00 PM
 to
 8:15 PM",,,MTL-4,,,Tuesday/Thrusday
"8:30 AM 
to 
9:45 AM",Reserved,,AUDITORIUM,,,Friday/Saturday
"8:30 AM 
to 
9:45 AM",Reserved,,EVENT HALL,,,Friday/Saturday
"8:30 AM 
to 
9:45 AM",,,MAC-1,,,Friday/Saturday
"8:30 AM 
to 
9:45 AM",Reserved for Graduate - only Sat,,MAC-2,,,Friday/Saturday
"8:30 AM 
to 
9:45 AM",Mathematical Economics ,BSECO - 4 ,MAC-3,95899,Mr. Muhammad Shahid Waheed,Friday/Saturday
"8:30 AM 
to 
9:45 AM",,,MAC-4,,,Friday/Saturday
"8:30 AM 
to 
9:45 AM",Analysis of Pakistani Industries,BBA-4,MAC-5,75365,Dr. Khadija Bari,Friday/Saturday
"8:30 AM 
to 
9:45 AM",,,MAC 6,,,Friday/Saturday
"8:30 AM 
to 
9:45 AM",Sales Management                        ,BBA-Elective,MAC-7,78415,Mr. Zeeshan Bhayani,Friday/Saturday
"8:30 AM 
to 
9:45 AM",,,MAC-8,,,Friday/Saturday
"8:30 AM 
to 
9:45 AM",Reserved for Graduate Programs - Only Friday,,MAS-1,,,Friday/Saturday
"8:30 AM 
to 
9:45 AM","Elements of Business Analytics   Only Saturday 
8:30 am to 9:45am & 10:00 to 11:15 am",FIN-Elective,MAS-1,96074,Mr. Rabee Javed,Friday/Saturday
"8:30 AM 
to 
9:45 AM",Reserved for Graduate Programs ,,MAS-2,,,Friday/Saturday
"8:30 AM 
to 
9:45 AM",,,MAV-1,,,Friday/Saturday
"8:30 AM 
to 
9:45 AM",,,MAV-2,,,Friday/Saturday
"8:30 AM 
to 
9:45 AM",Speech Communication,BSAF,MCC-09,71271,Ms. Zunaira Nadeem,Friday/Saturday
"8:30 AM 
to 
9:45 AM",,,MCC-10,,,Friday/Saturday
"8:30 AM 
to 
9:45 AM",,,MCC-11,,,Friday/Saturday
"8:30 AM 
to 
9:45 AM",,,MCC12,,,Friday/Saturday
"8:30 AM 
to 
9:45 AM",,,MCC-13,,,Friday/Saturday
"8:30 AM 
to 
9:45 AM",,,MCC-14,,,Friday/Saturday
"8:30 AM 
to 
9:45 AM","Software Architecture & Design Only Friday 
from 8:30 to 9:45 am & 10:00 to 11:15 am",CS Elective ,MCC-15,96109,Mr. Aneeq Hashmi,Friday/Saturday
"8:30 AM 
to 
9:45 AM",,Reserved forMSCS/DS only Fri,MCL-1,,,Friday/Saturday
"8:30 AM 
to 
9:45 AM",,,MCL-2,,,Friday/Saturday
"8:30 AM 
to 
9:45 AM",,,MCL-3,,,Friday/Saturday
"8:30 AM 
to 
9:45 AM",,,MCS-3,,,Friday/Saturday
"8:30 AM 
to 
9:45 AM",,,MCS-4,,,Friday/Saturday
"8:30 AM 
to 
9:45 AM",,,MCS-5,,,Friday/Saturday
"8:30 AM 
to 
9:45 AM",,,MTC 16,,,Friday/Saturday
"8:30 AM 
to 
9:45 AM",,,MTC-17,,,Friday/Saturday
"8:30 AM 
to 
9:45 AM",,,MTC-18,,,Friday/Saturday
"8:30 AM 
to 
9:45 AM",,,MTC-19,,,Friday/Saturday
"8:30 AM 
to 
9:45 AM",,,MTC-20,,,Friday/Saturday
"8:30 AM 
to 
9:45 AM",,,MTC-20A,,,Friday/Saturday
"8:30 AM 
to 
9:45 AM",,,MTC-21,,,Friday/Saturday
"8:30 AM 
to 
9:45 AM",,,MTC-22,,,Friday/Saturday
"8:30 AM 
to 
9:45 AM",,,MTC-23,,,Friday/Saturday
"8:30 AM 
to 
9:45 AM",,,MTC-24,,,Friday/Saturday
"8:30 AM 
to 
9:45 AM",,,MTC 25,,,Friday/Saturday
"8:30 AM 
to 
9:45 AM",,,MTC-26,,,Friday/Saturday
"8:30 AM 
to 
9:45 AM",,,MTC-27,,,Friday/Saturday
"8:30 AM 
to 
9:45 AM",,,MTC-28,,,Friday/Saturday
"8:30 AM 
to 
9:45 AM",,,MTC-29,,,Friday/Saturday
"8:30 AM 
to 
9:45 AM",,,MTS 6,,,Friday/Saturday
"8:30 AM 
to 
9:45 AM",,,MTS 7,,,Friday/Saturday
"8:30 AM 
to 
9:45 AM",Reserved for Graduate program ,,MTS 8,,,Friday/Saturday
"8:30 AM 
to 
9:45 AM",,,MTL-4,,,Friday/Saturday
"10:00 AM
 to 
11:15 AM",Reserved,,AUDITORIUM,,,Friday/Saturday
"10:00 AM
 to 
11:15 AM",Reserved,,EVENT HALL,,,Friday/Saturday
"10:00 AM
 to 
11:15 AM",Reserved,,MAC-1,,,Friday/Saturday
"10:00 AM
 to 
11:15 AM",Reserved for Graduate only Saturday,,MAC-2,,,Friday/Saturday
"10:00 AM
 to 
11:15 AM",Business Communication (2+1 CH),BBA-4,MAC-3,75364,Ms. Fatima Hatim Anjary,Friday/Saturday
"10:00 AM
 to 
11:15 AM",,,MAC-4,,,Friday/Saturday
"10:00 AM
 to 
11:15 AM",Analysis of Pakistani Industries,BBA-4,MAC-5,75363,Dr. Khadija Bari,Friday/Saturday
"10:00 AM
 to 
11:15 AM",,,MAC 6,,,Friday/Saturday
"10:00 AM
 to 
11:15 AM",,,MAC-7,,,Friday/Saturday
"10:00 AM
 to 
11:15 AM",reserved by SND,,MAC-8,,,Friday/Saturday
"10:00 AM
 to 
11:15 AM",Reserved for Graduate Programs - Only for Friday,,MAS-1,Reserved for GPO,,Friday/Saturday
"10:00 AM
 to 
11:15 AM","Elements of Business Analytics   Only Saturday 
8:30 am to 9:45am & 10:00 to 11:15 am",FIN-Elective,MAS-1,96074,Mr. Rabee Javed,Friday/Saturday
"10:00 AM
 to 
11:15 AM",Sales Management,BBA-Elective,MAS-2,78400,Mr. Atif Murtaza,Friday/Saturday
"10:00 AM
 to 
11:15 AM",,,MAV-1,,,Friday/Saturday
"10:00 AM
 to 
11:15 AM","Social Marketing                                                       Sat Only 
10:00 am to 11:15 & 11:30 am to 12:45",MKT-E,MAV-2,75362,Ms. Tabish Shahzad,Friday/Saturday
"10:00 AM
 to 
11:15 AM",Speech Communication,BSAF,MCC-09,75833,Ms. Zunaira Nadeem,Friday/Saturday
"10:00 AM
 to 
11:15 AM",,,MCC-10,,,Friday/Saturday
"10:00 AM
 to 
11:15 AM","Supply and Demand Management
Only Saturday 10:00am to 1:15pm  
",MS MGT,MCC-11,,Dr. Rameez Khalid,Friday/Saturday
"10:00 AM
 to 
11:15 AM",,,MCC12,,,Friday/Saturday
"10:00 AM
 to 
11:15 AM",,,MCC-13,,,Friday/Saturday
"10:00 AM
 to 
11:15 AM",,,MCC-14,,,Friday/Saturday
"10:00 AM
 to 
11:15 AM","Software Architecture & Design Only Friday (Tentative)
from 8:30 to 9:45 am & 10:00 to 11:15 am",CS Elective,MCC-15,96109,Mr. Aneeq Hashmi,Friday/Saturday
"10:00 AM
 to 
11:15 AM",Reserved for Graduate ,MSCS/DS ,MCL-1,,,Friday/Saturday
"10:00 AM
 to 
11:15 AM",,,MCL-2,,,Friday/Saturday
"10:00 AM
 to 
11:15 AM",,,MCL-3,,,Friday/Saturday
"10:00 AM
 to 
11:15 AM",Taxation (Only Friday 10:00am to 11:15am & 11:30am to 12:45pm),BSAF-4,MCS-3,75834,Ms. Aimen Batool,Friday/Saturday
"10:00 AM
 to 
11:15 AM",Reserved for MBA Executive,,MCS-4,,,Friday/Saturday
"10:00 AM
 to 
11:15 AM",Reserved for MBA Executive,,MCS-5,,,Friday/Saturday
"10:00 AM
 to 
11:15 AM",Reserved for Graduate ,Only MSDS ,MTC 16,,,Friday/Saturday
"10:00 AM
 to 
11:15 AM",Reserved for Graduate ,,MTC-17,,,Friday/Saturday
"10:00 AM
 to 
11:15 AM",,,MTC-18,,,Friday/Saturday
"10:00 AM
 to 
11:15 AM",Reserved for Graduate ,Elective MSF,MTC-19,,,Friday/Saturday
"10:00 AM
 to 
11:15 AM","Pakistan History	
",BSAF,MTC-20,75865,"Mr. Saqib Ahmed
",Friday/Saturday
"10:00 AM
 to 
11:15 AM",Reserved Graduate  (Only Saturday 10:00 am to 12:30 Pm.),MSCS/DS,MTC-20A,96169,Mr Shahab ,Friday/Saturday
"10:00 AM
 to 
11:15 AM",,,MTC-21,,,Friday/Saturday
"10:00 AM
 to 
11:15 AM",,,MTC-22,,,Friday/Saturday
"10:00 AM
 to 
11:15 AM",,,MTC-23,,,Friday/Saturday
"10:00 AM
 to 
11:15 AM",Data Structure  ,BSCS-3,MTC-24,96044,Ms. Solat Jabeen,Friday/Saturday
"10:00 AM
 to 
11:15 AM",,,MTC 25,,,Friday/Saturday
"10:00 AM
 to 
11:15 AM",Reserved Graduate (onlySaturday 10:00 to 12:45PM ),MSCSDS,MTC-26,75773,Dr.Nasir Touheed,Friday/Saturday
"10:00 AM
 to 
11:15 AM",,,MTC-27,,,Friday/Saturday
"10:00 AM
 to 
11:15 AM",,,MTC-28,,,Friday/Saturday
"10:00 AM
 to 
11:15 AM",,,MTC-29,,,Friday/Saturday
"10:00 AM
 to 
11:15 AM",CULMINATING EXPERIENCE II,BSSS-8,MTS 6,96115,TBA,Friday/Saturday
"10:00 AM
 to 
11:15 AM",Computational Intellegience ( Only Saturday 10:00 am to 12:30 pm ),MSDS,MTS 7,75772,,Friday/Saturday
"10:00 AM
 to 
11:15 AM",Reserved for Graduate ,,MTS 8,,,Friday/Saturday
"10:00 AM
 to 
11:15 AM","Only Friday Reserved for Robotic Class
",BSCS,MTL-4,,,Friday/Saturday
"10:00 AM
 to 
11:15 AM",,,,,,Friday/Saturday
"11:30 AM 
to 
12:45 PM",,,,,,Friday/Saturday
"11:30 AM 
to 
12:45 PM",Reserved,,AUDITORIUM,,,Friday/Saturday
"11:30 AM 
to 
12:45 PM",Reserved,,EVENT HALL,,,Friday/Saturday
"11:30 AM 
to 
12:45 PM",,,MAC-1,,,Friday/Saturday
"11:30 AM 
to 
12:45 PM",Alternative Risk Management,FIN-E ,MAC-2,75866,Dr. Mohsin Zahid Khawaja,Friday/Saturday
"11:30 AM 
to 
12:45 PM",Business Communication (2+1 CH),BBA-4,MAC-3,75361,Ms. Fatima Hatim Anjary,Friday/Saturday
"11:30 AM 
to 
12:45 PM",Probability & Statistical Models ,BSEM - 8,MAC-4,95982,Ms. Farah Yasmeen,Friday/Saturday
"11:30 AM 
to 
12:45 PM",Analysis of Pakistani Industries,BBA-4,MAC-5,75359,Dr. Khadija Bari,Friday/Saturday
"11:30 AM 
to 
12:45 PM",,,MAC 6,,,Friday/Saturday
"11:30 AM 
to 
12:45 PM",,,MAC-7,,,Friday/Saturday
"11:30 AM 
to 
12:45 PM","Production and Operations Management Saturday Only 
11:30 am to 12:45 & 1:00 to 2:15 pm",BBA-6,MAC-8,75358,Mr. Khusrow M Uzair,Friday/Saturday
"11:30 AM 
to 
12:45 PM","Elements of Business Analytics   Only Saturday 
11:30 am to 12:45am & 1:00 to 2:15 PM",FIN-E ,MAS-1,96057,Mr. Rabee Javed,Friday/Saturday
"11:30 AM 
to 
12:45 PM",Reserved for Graduate Programs ,,MAS-2,,,Friday/Saturday
"11:30 AM 
to 
12:45 PM",,,MAV-1,,,Friday/Saturday
"11:30 AM 
to 
12:45 PM",,,MAV-2,,,Friday/Saturday
"11:30 AM 
to 
12:45 PM",,,MCC-09,,,Friday/Saturday
"11:30 AM 
to 
12:45 PM",,,MCC-10,,,Friday/Saturday
"11:30 AM 
to 
12:45 PM","Supply and Demand Management
Only Saturday 10:00am to 1:15pm  ",MS MGT,MCC-11,,Dr. Rameez Khalid ,Friday/Saturday
"11:30 AM 
to 
12:45 PM",,,MCC12,,,Friday/Saturday
"11:30 AM 
to 
12:45 PM",,,MCC-13,,,Friday/Saturday
"11:30 AM 
to 
12:45 PM",,,MCC-14,,,Friday/Saturday
"11:30 AM 
to 
12:45 PM",Service Marketing,MKT-E,MCC 15,78416,Mr. Atif Murtaza,Friday/Saturday
"11:30 AM 
to 
12:45 PM",Reserved for Graduate ,MSCS/DS ,MCL-1,,,Friday/Saturday
"11:30 AM 
to 
12:45 PM",,,MCL-2,,,Friday/Saturday
"11:30 AM 
to 
12:45 PM",,,MCL-3,,,Friday/Saturday
"11:30 AM 
to 
12:45 PM",Taxation (Only Friday 10:00am to 11:15am & 11:30am to 12:45pm),BSAF-4,MCS-3,75834,Ms. Aimen Batool,Friday/Saturday
"11:30 AM 
to 
12:45 PM",Reserved for MBA Executive,,MCS-4,,,Friday/Saturday
"11:30 AM 
to 
12:45 PM",Reserved for MBA Executive,,MCS-5,,,Friday/Saturday
"11:30 AM 
to 
12:45 PM",Reserved for Graduate ,Only MSDS ,MTC 16,,,Friday/Saturday
"11:30 AM 
to 
12:45 PM",Reserved for Graduate ,,MTC-17,,,Friday/Saturday
"11:30 AM 
to 
12:45 PM",,,MTC-18,,,Friday/Saturday
"11:30 AM 
to 
12:45 PM",Reserved for Graduate ,Elective MSF,MTC-19,,,Friday/Saturday
"11:30 AM 
to 
12:45 PM",Pakistan History,"BSAF
",MTC-20,75867,Mr. Saqib Ahmed ,Friday/Saturday
"11:30 AM 
to 
12:45 PM",Reserved Graduate  (Only Saturday 10:00 am to 12:30 Pm.),MSCS/DS,MTC-20A,96169,Mr. Shahab ,Friday/Saturday
"11:30 AM 
to 
12:45 PM",Reserved for  Dr. Jibran Rashid 'sTutorial Class Only Friday 11:30 am to 12:30 pm,BSCS-6,MTC-21,75914 - 96037,Dr. Jibran Rashid,Friday/Saturday
"11:30 AM 
to 
12:45 PM",Reserved for  Dr. Jibran Rashid 'sTutorial Class Only Friday 11:30 am to 12:30 pm,BSCS-6,MTC-22,75914 - 96037,Dr. Jibran Rashid,Friday/Saturday
"11:30 AM 
to 
12:45 PM",Reserved for  Dr. Jibran Rashid 'sTutorial Class Only Friday 11:30 am to 12:30 pm,BSCS-6,MTC-23,75914 - 96037,Dr. Jibran Rashid,Friday/Saturday
"11:30 AM 
to 
12:45 PM",Reserved for  Dr. Jibran Rashid 'sTutorial Class Only Friday 11:30 am to 12:30 pm,BSCS-6,MTC-24,75914 - 96037,Dr. Jibran Rashid,Friday/Saturday
"11:30 AM 
to 
12:45 PM",,,MTC 25,,,Friday/Saturday
"11:30 AM 
to 
12:45 PM",Reserved Graduate (onlySaturday 10:00 to 12:45PM ),MSCSDS,MTC-26,75773,Dr. Nasir Touheed ,Friday/Saturday
"11:30 AM 
to 
12:45 PM",,,MTC-27,,,Friday/Saturday
"11:30 AM 
to 
12:45 PM",,,MTC-28,,,Friday/Saturday
"11:30 AM 
to 
12:45 PM",,,MTC-29,,,Friday/Saturday
"11:30 AM 
to 
12:45 PM",,,MTS 6,,,Friday/Saturday
"11:30 AM 
to 
12:45 PM",Computational Intellegience ( Only Saturday 10:00 am to 12:30 pm ),MSDS,MTS 7,75772,,Friday/Saturday
"11:30 AM 
to 
12:45 PM",Reserved for Graduate ,,MTS 8,,,Friday/Saturday
"11:30 AM 
to 
12:45 PM","Data Structure (Lab) Only Saturday
11:30 am to 2:15 pm",BSCS-3,MTL-4,96044,Ms. Solat Jabeen,Friday/Saturday
"1:00 PM
 to
 2:15 PM",,,,,,Friday/Saturday
"1:00 PM
 to
 2:15 PM",Reserved,,AUDITORIUM,,,Friday/Saturday
"1:00 PM
 to
 2:15 PM",Reserved,,EVENT HALL,,,Friday/Saturday
"1:00 PM
 to
 2:15 PM",,,MAC-1,,,Friday/Saturday
"1:00 PM
 to
 2:15 PM",,,MAC-2,,,Friday/Saturday
"1:00 PM
 to
 2:15 PM",,,MAC-3,,,Friday/Saturday
"1:00 PM
 to
 2:15 PM",,,MAC-4,,,Friday/Saturday
"1:00 PM
 to
 2:15 PM",,,MAC-5,,,Friday/Saturday
"1:00 PM
 to
 2:15 PM",,,MAC 6,,,Friday/Saturday
"1:00 PM
 to
 2:15 PM",,,MAC-7,,,Friday/Saturday
"1:00 PM
 to
 2:15 PM",,,MAC-8,,,Friday/Saturday
"1:00 PM
 to
 2:15 PM","Elements of Business Analytics   Only Saturday 
11:30 am to 12:45am & 1:00 to 2:15 PM",FIN-E ,MAS-1,96057,Mr. Rabee Javed,Friday/Saturday
"1:00 PM
 to
 2:15 PM",Reserved for Graduate Programs ,,MAS-2,,,Friday/Saturday
"1:00 PM
 to
 2:15 PM",Reserved by SND,,MAV-1,,,Friday/Saturday
"1:00 PM
 to
 2:15 PM",,,MAV-2,,,Friday/Saturday
"1:00 PM
 to
 2:15 PM",Reserved for MBA Executive,,MCC-09,,,Friday/Saturday
"1:00 PM
 to
 2:15 PM",Reserved for MBA Executive,,MCC-10,,,Friday/Saturday
"1:00 PM
 to
 2:15 PM",Reserved for MBA Executive,,MCC-11,,,Friday/Saturday
"1:00 PM
 to
 2:15 PM",,,MCC12,,,Friday/Saturday
"1:00 PM
 to
 2:15 PM",,,MCC-13,,,Friday/Saturday
"1:00 PM
 to
 2:15 PM",,,MCC-14,,,Friday/Saturday
"1:00 PM
 to
 2:15 PM",,,MCC-15,,,Friday/Saturday
"1:00 PM
 to
 2:15 PM",,,MCL-1,,,Friday/Saturday
"1:00 PM
 to
 2:15 PM",,,MCL-2,,,Friday/Saturday
"1:00 PM
 to
 2:15 PM",,,MCL-3,,,Friday/Saturday
"1:00 PM
 to
 2:15 PM",Reserved for MBA Executive,,MCS-3,,,Friday/Saturday
"1:00 PM
 to
 2:15 PM",Reserved for MBA Executive,,MCS-4,,,Friday/Saturday
"1:00 PM
 to
 2:15 PM",Reserved for MBA Executive,,MCS-5,,,Friday/Saturday
"1:00 PM
 to
 2:15 PM",Reserved for Graduate ,Reserved MSCDS,MTC 16,,,Friday/Saturday
"1:00 PM
 to
 2:15 PM",Reserved for Graduate ,MS IBF,MTC-17,,,Friday/Saturday
"1:00 PM
 to
 2:15 PM",,,MTC-18,,,Friday/Saturday
"1:00 PM
 to
 2:15 PM",,,MTC-19,,,Friday/Saturday
"1:00 PM
 to
 2:15 PM",,,MTC-20,,,Friday/Saturday
"1:00 PM
 to
 2:15 PM",Reserved Graduate  (Only Saturday 1:00 pm to 3:30 Pm.),MSCS/DS,MTC-20A,96033,Mr.Shahab,Friday/Saturday
"1:00 PM
 to
 2:15 PM",,,MTC-21,,,Friday/Saturday
"1:00 PM
 to
 2:15 PM",,,MTC-22,,,Friday/Saturday
"1:00 PM
 to
 2:15 PM",,,MTC-23,,,Friday/Saturday
"1:00 PM
 to
 2:15 PM",,,MTC-24,,,Friday/Saturday
"1:00 PM
 to
 2:15 PM",,,MTC 25,,,Friday/Saturday
"1:00 PM
 to
 2:15 PM",,,MTC-26,,,Friday/Saturday
"1:00 PM
 to
 2:15 PM",,,MTC-27,,,Friday/Saturday
"1:00 PM
 to
 2:15 PM",,,MTC-28,,,Friday/Saturday
"1:00 PM
 to
 2:15 PM",,,MTC-29,,,Friday/Saturday
"1:00 PM
 to
 2:15 PM",,,MTS 6,,,Friday/Saturday
"1:00 PM
 to
 2:15 PM",,,MTS 7,,,Friday/Saturday
"1:00 PM
 to
 2:15 PM",,,MTS 8,,,Friday/Saturday
